code,name,ruby,filename,urlString,
1,藍坊主,あおぼうず,aobouzu,http://www.aobozu.jp/,
2,赤い公園,あかいこうえん,akaikoen,http://akaiko-en.com/,
3,赤色のグリッター,あかいろのぐりったー,akaironoglitter,http://akaironoglitter.com/,
4,ACIDMAN,あしっどまん,acidman,http://acidman.jp/,
5,ASPARAGUS,あすぱらがす,asparagus,http://www.3p3b.co.jp/bands/asp.html,
6,ART-SCHOOL,あーとすくーる,artschool,http://www.art-school.net/,
7,avengers in sci-fi,あべんじゃーずいんさいふぁい,avengersinscifi,http://www.avengers.jp/,
8,アルカラ,あるから,arukara,http://arukara.net/,
9,[Alexandros],あれきさんどろす,alexandros,http://alexandros.jp/,
10,ANGRY FROG REBIRTH,あんぐりーふろっぐりばーす,angryfrogrebirth,http://www.angryfrogrebirth.com/,
11,androp,あんどろっぷ,androp,http://www.androp.jp/,
12,家入レオ,いえいりれお,ieirileo,http://www.jvcmusic.co.jp/leo-ieiri/,
13,石毛輝(the telephones),いしげあきら（てれふぉんず）,ishigeakira,http://thetelephones.net/,1
14,indigo la End,いんでぃごらえんど,indigolaend,http://indigolaend.com/,
15,宇宙まお,うちゅうまお,uchumao,http://uchumao.jp/,
16,AIR SWELL,えあーすうぇる,airswell,http://air-swell.net/,
17,80KIDZ,えいてぃきっず,80kidz,http://80kidz.net/,
18,AA=,えーえーいこーる,aaequal,http://www.aaequal.com/,
19,エレファントカシマシ,えれふぁんとかしまし,elephantkashimashi,http://www.elephantkashimashi.com/,
20,大森靖子＆THEピンクトカレフ,おおもりせいこあんどぴんくとかれふ,oomoriseiko,http://oomoriseiko.info/,
21,OKAMOTO’S,おかもとず,okamotos,http://www.okamotos.net/,
22,オカモトレイジ(OKAMOTO’S),おかもとれいじ（おかもとず）,okamotoreiji,http://www.okamotos.net/,1
23,THE ORAL CIGARETTES,おーらるしがれっつ,theoralcigarettes,http://theoralcigarettes.com/,
24,OLDCODEX,おるどこでっくす,oldcodex,http://www.oldcodex.com/,
25,ORANGE RANGE,おれんじれんじ,orangerange,http://orangerange.com/,
26,片平実(Getting Better),かたひらみのる（げってぃんぐべたー）,katahiraminoru,http://getting1996.com/,1
27,Gacharic Spin,がちゃりっくすぴん,gacharicspin,http://gacharicspin.com/,
28,KANA-BOON,かなぶーん,kanaboon,http://www.kanaboon.com/,
29,CAPSULE,かぷせる,capsule,http://capsule-official.com/,
30,Kalafina,からふぃな,kalafina,http://www.kalafina.jp/,
31,Galileo Galilei,がりれおがりれい,galileogalilei,http://galileogalilei.jp/,
32,川上洋平([Alexandros]),かわかみようへい（あれきさんどろす）,kawakamiyoohei,http://alexandros.jp/,1
33,KEYTALK,きーとーく,keytalk,http://keytalkweb.com/,
34,Kidori Kidori,きどりきどり,kidorikidori,http://kidorikidori.jp/,
35,きのこ帝国,きのこていこく,kinokoteikoku,http://www.kinokoteikoku.com/,
36,木村カエラ,きむらかえら,kimurakaela,http://kaela-web.com/,
37,きゃりーぱみゅぱみゅ,きゃりーぱみゅぱみゅ,kyarypamyupamyu,http://kyary.asobisystem.com/,
38,キュウソネコカミ,きゅうそねこかみ,kyuusonekokami,http://02.mbsp.jp/kyuuso/,
39,℃-ute,きゅーと,cute,http://www.helloproject.com/c-ute/,
40,9mm Parabellum Bullet,きゅーみりぱらべらむばれっと,9mmparabellumbullet,http://9mm.jp/,
41,清 竜人25,きよしりゅうじんとぅえんてぃーふぁいぶ,kiyoshiryujin25,http://www.kiyoshiryujin.com/25/,
42,空想委員会,くうそういいんかい,kusoiinkai,http://kusoiinkai.com/,
43,GOOD ON THE REEL,ぐっどおんざりーる,goodonthereel,http://goodonthereel.net/,
44,GOOD4NOTHING,ぐっどふぉーなっしんぐ,good4nothing,http://g4n.jp/,
45,グッドモーニングアメリカ,ぐっどもーにんぐあめりか,goodmorningamerica,http://goodmorningamerica.jp/,
46,a crowd of rebellion,くらうどおぶりべりおん,acrowdofrebellion,http://www.acrowdofrebellion.com/,
47,QOOLAND,くーらんど,qooland,http://qooland.com/,
48,クリープハイプ,くりーぷはいぷ,creephyp,http://www.creephyp.com/,
49,グループ魂,ぐるーぷたましい,grouptamashii,http://www.g-tamashii.com/,
50,くるり,くるり,quruli,http://www.quruli.net/,
51,KREVA,くれば,kreva,http://www.kreva.biz/,
52,GRAPEVINE,ぐれーぷばいん,grapevine,http://www.grapevineonline.jp/,
53,ゲスの極み乙女。,げすのきわみおとめ,gesunokiwamiotome,http://gesuotome.com/,
54,KEMURI,けむり,kemuri,http://kemuri.com/,
55,go!go!vanillas,ごーごばにらず,gogovanillas,http://www.gogovanillas.com/,
56,Gotch,ごっち,gotch,http://www.onlyindreams.com/artist/gotch.html,
57,小林太郎,こばやしたろう,kobayashitaro,http://www.kobayashitaro.com/,
58,Silent Siren,さいれんとさいれん,silentsiren,http://silent-siren.com/,
59,SAKANAMON,さかなもん,sakanamon,http://sakanamon.com/,
60,坂本真綾,さかもとまあや,sakamotomaaya,http://www.jvcmusic.co.jp/maaya/,
61,ZAZEN BOYS,ざぜんぼーいず,zazenboys,http://www.mukaishutoku.com/,
62,Suck a Stew Dry,さっくあすてゅーどらい,suckastewdry,http://suckastewdry.com/,
63,佐野元春 and THE COYOTE BAND,さのもとはるあんどこよーてばんど,sanomotoharu,http://www.moto.co.jp/,
64,さよなら、また今度ね,さよならまたこんどね,sayonaramatakondone,http://sayonaramatakondone.jp/,
65,サンフジンズ,さんふじんず,sanfujins,,
66,サンボマスター,さんぼますたー,sambomaster,http://www.sambomaster.com/,
67,C&K,しーあんどけー,candk,http://c-and-k.info/,
68,the chef cooks me,しぇふくっくすみー,thechefcooksme,http://www.thechefcooksme.co.uk/,
69,シシド・カフカ,ししどかふか,shishidokavka,http://shishido-kavka.com/,
70,シナリオアート,しなりおあーと,scenarioart,http://www.scenarioart.jp/,
71,柴田隆浩(忘れらんねえよ),しばたたかひろ（わすれらんねえよ）,shibatatakahiro,http://www.office-augusta.com/wasureranneyo/,1
72,jamming O.P.,じゃみんぐおーぴー,jammingop,http://jammingop.jp/,
73,SHANK,しゃんく,shank,http://www.shankofficial.com/,
74,女王蜂,じょおうばち,ziyoouvachi,http://www.ziyoou-vachi.com/,
75,真空ホロウ,しんくうほろう,shikuhorou,http://shinku-horou.com/,
76,神啓文(FREE THROW),じんひろふみ(ふりーすろー),jinhirofumi,http://freethrowweb.com/,1
77,スガ シカオ,すがしかお,sugashikao,http://www.sugashikao.jp/,
78,スキマスイッチ,すきますいっち,sukimaswitch,http://www.office-augusta.com/sukimaswitch/,
79,SCANDAL,すきゃんだる,scandal,http://www.scandal-4.com/,
80,sukekiyo,すけきよ,sukekiyo,http://sukekiyo-official.jp/,
81,Scott & Rivers,すこっとりばーす,scottandrivers,http://www.universal-music.co.jp/scott-and-rivers,
82,ストレイテナー,すとれいてなー,straightener,http://www.straightener.net/,
83,SUPER BEAVER,すーぱーびーばー,superbeaver,http://www.super-beaver.com/,
84,Superfly,すーぱーふらい,superfly,http://www.superfly-web.com/,
85,SPECIAL OTHERS,すぺしゃるあざーす,specialothers,http://www.specialothers.com/,
